News_Title,News_Link
"Exclusive ""Apple Must Say If Devices Secure,"" Says Minister On 'Hacking' Row",https://www.ndtv.com/india-news/exclusive-apple-must-say-if-devices-secure-says-minister-on-hacking-row-4531544#pfrom=home-ndtv_bigstory
Congress Leader Defends Deepika Padukone Over 'Koffee With Karan' Remarks,https://www.ndtv.com/india-news/deepika-padukone-ranveer-singh-karan-johar-open-relationship-casual-dating-supriya-shrinate-congress-leader-defends-deepika-padukone-amid-row-over-dat-4530978#pfrom=home-ndtv_topstories
"Opinion If Arvind Kejriwal Is Arrested, Who Will Lead AAP?",https://www.ndtv.com/opinion/if-arvind-kejriwal-is-arrested-who-will-lead-aap-4531540#pfrom=home-ndtv_topstories
Kanpur Teen Murdered Allegedly By Teacher's Boyfriend. Then A Ransom Note,https://www.ndtv.com/india-news/kanpur-boy-17-allegedly-murdered-by-his-teachers-lover-motive-unknown-4530705#pfrom=home-ndtv_topstories
Major 'White Hydrogen' Deposit Found In France. How It Could Save The World,https://www.ndtv.com/science/major-white-hydrogen-deposit-found-in-france-heres-how-it-could-revolutionise-the-world-4532198#pfrom=home-ndtv_topstories
"Why India Still Have Not Qualified For Semi,Finals Of World Cup 2023",https://sports.ndtv.com/icc-cricket-world-cup-2023/why-india-still-have-not-qualified-for-the-semi-finals-of-icc-cricket-world-cup-2023-4527698#pfrom=home-ndtv_topstories
"Manipur Police Officer Shot By Sniper At State,BSF Helipad Site In Moreh",https://www.ndtv.com/india-news/manipur-police-officer-chingtham-anand-shot-by-insurgent-sniper-at-state-bsf-helipad-site-in-moreh-4531431#pfrom=home-ndtv_topstories
This Star Batter's World Cup Spot In Danger Once Pandya Returns Report,https://sports.ndtv.com/icc-cricket-world-cup-2023/indian-cricket-team-star-shreyas-iyers-world-cup-spot-in-danger-once-hardik-pandya-returns-report-4527635#pfrom=home-ndtv_topstories
"""Exactly What Kapil Used To Do..."" Gavaskar's Sensational Take On Shami",https://sports.ndtv.com/icc-cricket-world-cup-2023/exactly-what-kapil-dev-used-to-do-sunil-gavaskars-sensational-take-on-mohammed-shami-4527658#pfrom=home-ndtv_topstories
"Kerala Serial Blasts Accused Spent Just Rs 3,000 To Make Bombs Sources",https://www.ndtv.com/india-news/dominic-martin-kerala-blasts-kerala-serial-blasts-accused-spent-just-rs-3-000-to-make-bombs-sources-4530183#pfrom=home-ndtv_topstories
